!  E0     Theta    Q^2      Sig        dSig   TPE-Blun TPE-Fesh idat Norm
  199.60  50.000  0.0265 0.2770E+04 0.3986E+02  1.0057  1.0068  23. 0.035
  199.60  60.000  0.0360 0.1247E+04 0.1400E+02  1.0064  1.0076  23. 0.035
  199.60  70.000  0.0460 0.6222E+03 0.6980E+01  1.0070  1.0084  23. 0.035
  228.90  28.000  0.0119 0.2478E+05 0.4996E+03  1.0039  1.0045  23. 0.035
  228.90  40.000  0.0232 0.5509E+04 0.6998E+02  1.0048  1.0058  23. 0.035
  228.90  45.000  0.0286 0.3253E+04 0.3991E+02  1.0051  1.0063  23. 0.035
  228.90  50.000  0.0344 0.2053E+04 0.1993E+02  1.0054  1.0068  23. 0.035
  228.90  55.000  0.0405 0.1320E+04 0.1598E+02  1.0057  1.0072  23. 0.035
  228.90  60.000  0.0467 0.9047E+03 0.8997E+01  1.0060  1.0076  23. 0.035
  228.90  70.000  0.0594 0.4565E+03 0.3987E+01  1.0065  1.0084  23. 0.035
  228.90  75.000  0.0658 0.3356E+03 0.2987E+01  1.0068  1.0087  23. 0.035
  249.60  28.000  0.0141 0.2019E+05 0.3998E+03  1.0038  1.0045  23. 0.035
  249.60  35.000  0.0215 0.7890E+04 0.9000E+02  1.0043  1.0053  23. 0.035
  249.60  40.000  0.0274 0.4459E+04 0.5998E+02  1.0047  1.0058  23. 0.035
  249.60  45.000  0.0339 0.2654E+04 0.2993E+02  1.0049  1.0063  23. 0.035
  249.60  50.000  0.0406 0.1647E+04 0.2291E+02  1.0052  1.0068  23. 0.035
  249.60  55.000  0.0477 0.1077E+04 0.1497E+02  1.0054  1.0072  23. 0.035
  249.60  60.000  0.0550 0.7336E+03 0.7996E+01  1.0057  1.0076  23. 0.035
  249.60  65.000  0.0624 0.5164E+03 0.6991E+01  1.0059  1.0080  23. 0.035
  249.60  70.000  0.0698 0.3647E+03 0.3986E+01  1.0062  1.0084  23. 0.035
  249.60  75.000  0.0771 0.2698E+03 0.3982E+01  1.0064  1.0087  23. 0.035
  275.30  28.000  0.0172 0.1684E+05 0.3400E+03  1.0037  1.0045  23. 0.035
  275.30  50.000  0.0490 0.1323E+04 0.1096E+02  1.0049  1.0068  23. 0.035
  275.30  60.000  0.0661 0.5775E+03 0.5995E+01  1.0053  1.0076  23. 0.035
  275.30  70.000  0.0836 0.2889E+03 0.2989E+01  1.0057  1.0084  23. 0.035
  149.40  28.000  0.0051 0.6154E+05 0.5976E+03  1.0042  1.0045  22. 0.015
  149.40  30.000  0.0059 0.4587E+05 0.4047E+03  1.0044  1.0047  22. 0.015
  149.40  35.000  0.0079 0.2444E+05 0.2047E+03  1.0049  1.0053  22. 0.015
  199.50  28.000  0.0091 0.3357E+05 0.2966E+03  1.0040  1.0045  22. 0.015
  149.40  40.000  0.0101 0.1391E+05 0.1237E+03  1.0054  1.0058  22. 0.015
  199.50  30.000  0.0104 0.2524E+05 0.2211E+03  1.0042  1.0047  22. 0.015
  149.40  45.000  0.0125 0.8404E+04 0.7022E+02  1.0058  1.0063  22. 0.015
  199.50  35.000  0.0139 0.1333E+05 0.1208E+03  1.0047  1.0053  22. 0.015
  149.40  50.000  0.0151 0.5382E+04 0.4539E+02  1.0062  1.0068  22. 0.015
  199.50  40.000  0.0177 0.7475E+04 0.6002E+02  1.0050  1.0058  22. 0.015
  149.40  55.000  0.0178 0.3593E+04 0.3352E+02  1.0066  1.0072  22. 0.015
  149.40  60.000  0.0207 0.2428E+04 0.2164E+02  1.0070  1.0076  22. 0.015
  199.50  45.000  0.0220 0.4483E+04 0.3641E+02  1.0054  1.0063  22. 0.015
  149.40  65.000  0.0236 0.1717E+04 0.1536E+02  1.0073  1.0080  22. 0.015
  199.50  50.000  0.0264 0.2855E+04 0.2389E+02  1.0057  1.0068  22. 0.015
  149.40  70.000  0.0266 0.1222E+04 0.1152E+02  1.0077  1.0084  22. 0.015
  199.50  55.000  0.0311 0.1864E+04 0.1813E+02  1.0061  1.0072  22. 0.015
  199.50  60.000  0.0360 0.1283E+04 0.1403E+02  1.0064  1.0076  22. 0.015
  149.80  27.965  0.0051 0.6031E+05 0.8740E+03  1.0042  1.0045  21. 0.015
  228.70  27.965  0.0119 0.2545E+05 0.2277E+03  1.0039  1.0045  21. 0.015
  274.80  27.965  0.0171 0.1725E+05 0.1518E+03  1.0037  1.0045  21. 0.015
